LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value
AUT,PISAMATH,BOY,MEANSCORE,A,2018,505
AUT,PISAMATH,GIRL,MEANSCORE,A,2018,492
AUT,PISAMATH,TOT,MEANSCORE,A,2018,499
BEL,PISAMATH,BOY,MEANSCORE,A,2018,514
BEL,PISAMATH,GIRL,MEANSCORE,A,2018,502
BEL,PISAMATH,TOT,MEANSCORE,A,2018,508
BRA,PISAMATH,BOY,MEANSCORE,A,2018,388
BRA,PISAMATH,GIRL,MEANSCORE,A,2018,379
BRA,PISAMATH,TOT,MEANSCORE,A,2018,384
CAN,PISAMATH,BOY,MEANSCORE,A,2018,514
CAN,PISAMATH,GIRL,MEANSCORE,A,2018,510
CAN,PISAMATH,TOT,MEANSCORE,A,2018,512
CHE,PISAMATH,BOY,MEANSCORE,A,2018,519
CHE,PISAMATH,GIRL,MEANSCORE,A,2018,512
CHE,PISAMATH,TOT,MEANSCORE,A,2018,515
CHL,PISAMATH,BOY,MEANSCORE,A,2018,421
CHL,PISAMATH,GIRL,MEANSCORE,A,2018,414
CHL,PISAMATH,TOT,MEANSCORE,A,2018,417
COL,PISAMATH,TOT,MEANSCORE,A,2018,391
COL,PISAMATH,BOY,MEANSCORE,A,2018,401
COL,PISAMATH,GIRL,MEANSCORE,A,2018,381
CRI,PISAMATH,TOT,MEANSCORE,A,2018,402
CRI,PISAMATH,BOY,MEANSCORE,A,2018,411
CRI,PISAMATH,GIRL,MEANSCORE,A,2018,394
CZE,PISAMATH,BOY,MEANSCORE,A,2018,501
CZE,PISAMATH,GIRL,MEANSCORE,A,2018,498
CZE,PISAMATH,TOT,MEANSCORE,A,2018,499
DEU,PISAMATH,BOY,MEANSCORE,A,2018,503
DEU,PISAMATH,GIRL,MEANSCORE,A,2018,496
DEU,PISAMATH,TOT,MEANSCORE,A,2018,500
DNK,PISAMATH,BOY,MEANSCORE,A,2018,511
DNK,PISAMATH,GIRL,MEANSCORE,A,2018,507
DNK,PISAMATH,TOT,MEANSCORE,A,2018,509
ESP,PISAMATH,BOY,MEANSCORE,A,2018,485
ESP,PISAMATH,GIRL,MEANSCORE,A,2018,478
ESP,PISAMATH,TOT,MEANSCORE,A,2018,481
EST,PISAMATH,BOY,MEANSCORE,A,2018,528
EST,PISAMATH,GIRL,MEANSCORE,A,2018,519
